,name,last_name,age,gender,time,permanent_country,company,main_industry,wealth_source_details,industry,state,headquarters,countries,annual_income,daily_income,birth_year,name_cleaned
759,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,558904,1955,abdulla_bin_ahmad_al_ghurair
760,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,463109,1955,abdulla_bin_ahmad_al_ghurair
761,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,353506,1955,abdulla_bin_ahmad_al_ghurair
762,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,278868,1955,abdulla_bin_ahmad_al_ghurair
763,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,202520,1955,abdulla_bin_ahmad_al_ghurair
764,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,183780,1955,abdulla_bin_ahmad_al_ghurair
765,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,261928,1955,abdulla_bin_ahmad_al_ghurair
766,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,399254,1955,abdulla_bin_ahmad_al_ghurair
767,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,536021,1955,abdulla_bin_ahmad_al_ghurair
768,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,410391,1955,abdulla_bin_ahmad_al_ghurair
769,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,558904,1955,abdulla_bin_ahmad_al_ghurair
770,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,463109,1955,abdulla_bin_ahmad_al_ghurair
771,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,353506,1955,abdulla_bin_ahmad_al_ghurair
772,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,278868,1955,abdulla_bin_ahmad_al_ghurair
773,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,202520,1955,abdulla_bin_ahmad_al_ghurair
774,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2022,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,67080000,183780,1955,abdulla_bin_ahmad_al_ghurair
2031,Adam Kwok Kai-fai,,39,,2018,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,254985000,698589,1983,adam_kwok_kai_fai
2032,Adam Kwok Kai-fai,,39,,2018,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,254985000,614794,1983,adam_kwok_kai_fai
